Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ACIN1,-0.28825608,-0.10537271,-0.043016076,-0.17961563,-0.08507116,-0.037204146,-0.114008754,-0.05820045,-0.031431142,-0.04080109,0.038964584,0.14704536,-0.117674045,0.064699255,-0.02896684,0.046660945,-0.03670634,0.19674596,-0.018994002,0.2631452,0.1724201,0.33061677,0.10205618,-0.024015607,-0.08466727,0.0010819491,-0.00066446885,0.010696989,0.13304228,-0.06721782,-0.06848134,0.108852394,-0.10336727,-0.017662851,-0.2620742,-0.059099123,0.10068971,0.14355594,-0.1313807,-0.08271207,0.03780971,-0.08123041,0.09588463,0.07863077,-0.06833312,0.089944586,0.055180907,0.16851069,-0.14077528,0.024359047,0.028608605,-0.045819405,-0.060739353,-0.09345496,-0.07078369,-0.058826353,0.0517207,-0.19446968,0.04047133,0.04666188,-0.104136825,0.013464912,-0.057409957,0.11672076
AKT1,-0.18457827,0.0033641644,0.048795983,-0.15185744,0.13535084,-0.10584177,0.075118005,0.1888183,2.0574778e-05,-0.14399233,0.03372582,0.17213297,-0.18178293,-0.16269353,-0.04719624,-0.07879987,0.026783466,0.16002443,0.026895229,0.17387825,-0.08061398,0.32586545,-0.05094599,-0.106901094,-0.12472727,0.069124125,0.030176513,0.08557071,0.016739437,0.067787215,-0.16050388,0.012523025,0.08187345,0.05845467,-0.10062779,0.025448164,-0.05824153,-0.00946093,-0.0367572,-0.08983567,-0.08421801,-0.14552662,-0.045754004,0.13031486,-0.16130242,-0.015309915,0.0993529,0.261358,0.028490417,0.03875465,-0.12090017,-0.08161975,-0.16643657,-0.0024839453,-0.04037119,-0.01892167,-0.12989075,0.01898282,-0.07309449,0.11327168,0.08178054,0.023429655,-0.02251005,0.068026155
AKT2,-0.3881904,-0.10977611,-0.17639232,-0.20266064,-0.3885005,0.01879585,-0.31837535,-0.4988864,0.08316636,0.05373335,0.1624253,-0.10396622,-0.048563138,0.52325034,0.2059086,0.31800628,-0.09171432,0.214294,-0.08220007,0.22042671,0.44613004,0.19085866,0.38760865,0.10969047,-0.07820719,0.02646703,-0.04727399,-0.057128374,0.23969992,-0.20528921,0.18076488,0.10316678,-0.30152124,-0.003507128,-0.4466371,-0.14603315,0.4907598,0.25101158,-0.22958048,0.19510522,0.15542126,0.2847654,0.37862447,0.024498764,0.059051946,0.116849765,-0.12790586,-0.1200436,-0.20817745,0.09225923,0.27970886,-0.003929395,0.038271394,-0.25158316,-0.08439157,-0.09130514,0.41156512,-0.42128903,0.17183748,-0.028055595,-0.3039621,0.053372473,-0.11772148,0.13348106
APAF1,-0.2685663,-0.039261308,-0.046104312,-0.17311034,-0.08154625,-0.053564847,-0.08630632,-0.09956616,0.038571198,-0.061061665,0.09051275,0.045603372,-0.12750137,0.12465938,0.062621355,0.09334117,-0.021973584,0.17942508,-0.017944288,0.1814506,0.13055538,0.26695693,0.13317278,-0.020483376,-0.10454814,0.052506603,-0.0017250851,0.027034944,0.10918179,-0.044548348,-0.01607171,0.043211497,-0.07601698,0.033304,-0.24197689,-0.04600805,0.1745165,0.09946358,-0.11660145,0.036192253,0.014346767,0.042330466,0.13274452,0.08480348,-0.074681245,0.03429734,0.0024216848,0.10057129,-0.06671767,0.06348966,0.04440008,-0.049290024,-0.08169465,-0.10761495,-0.059114803,-0.048657443,0.09478588,-0.16171099,0.0236884,0.05476538,-0.077099025,0.035700858,-0.06287247,0.09130632
APIP,-0.31680268,-0.16838133,-0.09710157,-0.1804543,-0.17344953,-0.013021303,-0.19842398,-0.09604856,-0.0695114,-0.020261422,0.0021088887,0.2147202,-0.14221871,0.12319801,-0.038486708,0.10156718,-0.036097776,0.25262526,-0.06814182,0.32269514,0.29772687,0.4004048,0.09490164,0.01561342,-0.12462224,-0.060351245,-0.04030635,0.0012291856,0.15303051,-0.11526012,-0.10071975,0.18642321,-0.18481192,-0.042622417,-0.35639822,-0.091637425,0.15527716,0.16104186,-0.16602404,-0.09874777,0.06739558,-0.18990278,0.11249914,0.06531436,-0.016356329,0.13906804,0.059500188,0.15221232,-0.21500427,0.025015846,0.07128674,-0.026874717,-0.03823568,-0.1272769,-0.074137345,-0.072226524,0.11158948,-0.28772515,0.11612281,0.010876565,-0.18651867,-0.0063468376,-0.08938356,0.1555075
BAD,-0.43932837,-0.17601308,-0.25298184,-0.20700073,-0.56154686,0.026759462,-0.4559154,-0.6516855,0.10029261,0.092772834,0.1499787,-0.068155095,-0.04591859,0.73896575,0.27594486,0.3382517,-0.09617631,0.27988356,-0.15540816,0.25836885,0.70368934,0.22540028,0.48111063,0.22849046,-0.12961666,-0.0030124132,-0.107072756,-0.07928267,0.278937,-0.2855688,0.2582476,0.21119153,-0.4345252,0.0062828157,-0.59774154,-0.20054789,0.60821825,0.27594543,-0.2877215,0.22606598,0.21027736,0.29433694,0.4882082,0.020149726,0.2136555,0.20960842,-0.1838382,-0.23204125,-0.27593452,0.11528387,0.42331505,0.025749138,0.07893775,-0.3082971,-0.07468442,-0.10513067,0.60174817,-0.57370305,0.32326266,-0.08532864,-0.43810734,0.083869606,-0.13997298,0.22127491
BAK1,-0.16441314,0.024682958,0.06178841,-0.14465398,0.15932275,-0.123579815,0.10085145,0.21272148,0.020702679,-0.16538455,0.034758806,0.18409407,-0.1966156,-0.17256683,-0.030417033,-0.114832476,0.043820724,0.16185664,0.024007529,0.15409423,-0.091363296,0.31835872,-0.06769089,-0.09859574,-0.14806284,0.08781413,0.02620779,0.10307899,-0.008598888,0.08963476,-0.15840621,0.008480184,0.106956184,0.08747322,-0.08607998,0.03863313,-0.075302035,-0.049372446,-0.02202188,-0.078356914,-0.10826721,-0.14922678,-0.05744624,0.14675222,-0.14426629,-0.021241173,0.093773596,0.25464568,0.067984834,0.04966075,-0.12572876,-0.085990585,-0.18738273,0.014500622,-0.026812878,-0.008636232,-0.13229254,0.048253756,-0.067815974,0.11893926,0.1066837,0.039340466,-0.013117341,0.079135716
BAX,-0.27888274,-0.11570184,-0.02570352,-0.17723857,-0.050823182,-0.035549864,-0.09586419,-0.0012165895,-0.054834023,-0.04975315,0.026205458,0.20263353,-0.12584159,0.0062145963,-0.069726676,0.024143495,-0.031790253,0.19948456,-0.014886355,0.28669357,0.15757374,0.3588807,0.06301623,-0.033473834,-0.08845294,-0.008231247,0.002791971,0.018758345,0.12250046,-0.05502768,-0.10449915,0.12764066,-0.085449725,-0.025597328,-0.24456447,-0.050862078,0.06637706,0.13287395,-0.12280346,-0.112635344,0.024972823,-0.14903447,0.056466453,0.08773585,-0.0725058,0.10285945,0.08484647,0.21210422,-0.14381896,0.011730276,0.0009149164,-0.049176287,-0.07002149,-0.0708285,-0.0673578,-0.05512729,0.007538583,-0.17372851,0.036722586,0.052800953,-0.086490005,0.010357647,-0.045010343,0.1262413
BBC3,-0.43932837,-0.17601308,-0.25298184,-0.20700073,-0.56154686,0.026759462,-0.4559154,-0.6516855,0.10029261,0.092772834,0.1499787,-0.068155095,-0.04591859,0.73896575,0.27594486,0.3382517,-0.09617631,0.27988356,-0.15540816,0.25836885,0.70368934,0.22540028,0.48111063,0.22849046,-0.12961666,-0.0030124132,-0.107072756,-0.07928267,0.278937,-0.2855688,0.2582476,0.21119153,-0.4345252,0.0062828157,-0.59774154,-0.20054789,0.60821825,0.27594543,-0.2877215,0.22606598,0.21027736,0.29433694,0.4882082,0.020149726,0.2136555,0.20960842,-0.1838382,-0.23204125,-0.27593452,0.11528387,0.42331505,0.025749138,0.07893775,-0.3082971,-0.07468442,-0.10513067,0.60174817,-0.57370305,0.32326266,-0.08532864,-0.43810734,0.083869606,-0.13997298,0.22127491
BCL2L1,-0.27090725,-0.03620773,-0.04959911,-0.17380513,-0.089518115,-0.051975004,-0.09045482,-0.11425361,0.04473296,-0.058660448,0.09716498,0.03232806,-0.12489527,0.13971722,0.07284467,0.10448268,-0.023675632,0.17810476,-0.018683253,0.17587322,0.1347778,0.25924867,0.14352286,-0.017521428,-0.10347649,0.055702098,-0.0022341423,0.02519865,0.1118489,-0.04758142,-0.006193284,0.038975827,-0.0800181,0.0352356,-0.2453343,-0.04785138,0.18931785,0.10196048,-0.118746415,0.04972799,0.017209124,0.060324065,0.14266771,0.08305225,-0.072894484,0.031990685,-0.004917644,0.09001526,-0.06573214,0.066618614,0.051710054,-0.04846172,-0.07929088,-0.11282447,-0.059507485,-0.049320754,0.105969325,-0.16632475,0.025131548,0.053304575,-0.08118042,0.037446365,-0.06469765,0.08952307
