Gene,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
ACIN1,-0.6404915,0.19036703,0.14246963,-0.1632391,-0.060951278,0.07911655,0.39560366,0.11381163,0.2884693,0.052599877,0.12609807,0.044598028,-0.024685971,0.33248174,0.21478996,0.63119817,-0.55590874,0.704523,-0.2366438,-0.013654509,0.11688262,0.3947187,0.19013521,0.3604845,-0.37368995,0.13398796,0.001906045,-0.03763246,-0.117102176,0.18594667,0.43911824,0.49013916,0.06547733,0.3293121,-0.17236955,0.5835874,0.26617974,0.26741108,0.0430794,-0.47201064,0.13021915,0.5771647,0.5591085,-0.1667754,0.23931858,-0.15951099,-0.05184094,0.4400148,0.12765177,-0.087745436,0.16701609,0.22805043,-0.15047736,0.3499903,0.26431876,0.60318035,0.056357212,-0.44330138,0.2155464,0.091315955,0.029488266,0.035565093,0.3233655,0.013766505
AKT1,-0.5960977,0.19422327,0.1479742,-0.15616012,-0.04164365,0.06910957,0.39301407,0.13791203,0.27853248,0.03785478,0.1287626,0.02763721,-0.023181029,0.28737217,0.19402088,0.60721254,-0.527501,0.66598666,-0.22760712,-0.027040908,0.08126534,0.38570943,0.16615398,0.327433,-0.35940492,0.12302047,0.005727693,-0.021987965,-0.10990626,0.18606739,0.4090495,0.46261635,0.068404846,0.31259188,-0.14261441,0.5591075,0.24738652,0.25038713,0.04286253,-0.4456074,0.108418755,0.5451757,0.53385067,-0.15598956,0.22686642,-0.15619554,-0.043521624,0.4488502,0.1339422,-0.08528093,0.15174341,0.21865615,-0.15393022,0.34693134,0.25920144,0.5885448,0.03552246,-0.40317804,0.18813983,0.092189,0.033820745,0.032589138,0.31665283,0.005966224
AKT2,-0.72013974,0.2738979,0.1380512,-0.17603244,-0.12780213,0.04229604,0.39889106,0.09566272,0.38911211,0.076496124,0.21140115,-0.0028906274,-0.032654047,0.5533365,0.39113304,0.80548316,-0.6077118,0.8007736,-0.25220242,0.012790664,0.16080207,0.41514486,0.30943722,0.4371777,-0.40290383,0.2506591,0.0015914701,-0.062913954,-0.124675594,0.18404186,0.6356628,0.47699752,0.061029397,0.38632697,-0.21792385,0.628259,0.29430184,0.2977209,0.04021514,-0.46248755,0.16457693,0.8474834,0.67121685,-0.19267608,0.255162,-0.22489323,-0.05053107,0.3359207,0.19552813,-0.03105326,0.20179325,0.24645682,-0.14442842,0.33409065,0.2861311,0.6679239,0.19709559,-0.511887,0.2450816,0.09150361,0.015427188,0.057516813,0.33908758,0.0029825568
APAF1,-0.6399475,0.23414613,0.14457898,-0.16181377,-0.075473204,0.053846296,0.3958227,0.10390643,0.3279789,0.049748894,0.16857888,-0.026563292,-0.028418288,0.39746147,0.28011733,0.6939341,-0.5559874,0.7190758,-0.23846781,-0.014671504,0.107391745,0.3730628,0.22326696,0.36894906,-0.3796959,0.17750263,0.004492809,-0.036037493,-0.11593696,0.18580301,0.50299037,0.4614616,0.064194985,0.3425256,-0.1701612,0.58420974,0.263805,0.2660475,0.040743686,-0.46901488,0.12777624,0.6724771,0.59100425,-0.16807702,0.23750912,-0.19212635,-0.052592695,0.39849615,0.1653705,-0.060633324,0.16872053,0.22959656,-0.1506773,0.3406828,0.27128315,0.62092674,0.1058405,-0.44272578,0.20915654,0.09093755,0.026417851,0.04291369,0.32492882,0.0029944777
APIP,-0.68085915,0.16349691,0.13451143,-0.1686415,-0.0646133,0.11306526,0.39811838,0.13660023,0.2665135,0.063186765,0.098095074,0.11491754,-0.021788456,0.32384697,0.18432367,0.60646677,-0.58123654,0.7204176,-0.24611801,-0.00013990354,0.14901668,0.43263495,0.18331552,0.38138062,-0.3891756,0.11431956,0.003438316,-0.048745282,-0.12019499,0.18378139,0.41511682,0.5350149,0.06473051,0.32680973,-0.1907969,0.6064978,0.27837804,0.2803088,0.043058474,-0.49402133,0.14403439,0.53243804,0.5543148,-0.1752518,0.24391843,-0.1385699,-0.041022874,0.46368697,0.098751545,-0.10320039,0.17962335,0.2368959,-0.1478625,0.3545703,0.2659115,0.59989214,0.045264572,-0.47492516,0.24430491,0.0934368,0.022733808,0.035168648,0.3268865,0.021309331
BAD,-0.8858402,0.2519708,0.108718604,-0.19859692,-0.18115512,0.10124405,0.41467685,0.09944117,0.40109557,0.12192809,0.18134877,0.053105097,-0.04089032,0.67868733,0.4348219,0.86398727,-0.7156014,0.9239297,-0.29220274,0.05909425,0.27775964,0.5053567,0.36837345,0.5489691,-0.471922,0.26734868,-0.0032870402,-0.114416584,-0.15073878,0.18180239,0.6927822,0.5940555,0.05581849,0.4342746,-0.3116199,0.72342163,0.36015108,0.3474349,0.04204207,-0.58130586,0.23166573,0.90495247,0.7447387,-0.22976121,0.28707963,-0.23979932,-0.049496014,0.33250248,0.16295354,-0.04027836,0.27410746,0.28551444,-0.13678755,0.33768487,0.30753636,0.7092796,0.25487256,-0.6515008,0.34892946,0.093287334,-0.008048607,0.066642284,0.36021084,0.015293419
BAK1,-0.6286089,0.19580182,0.1439289,-0.15922534,-0.05688277,0.08342758,0.39341348,0.12537596,0.28228974,0.044513363,0.13031751,0.042736407,-0.020829313,0.3166945,0.20096788,0.622198,-0.5465161,0.6881044,-0.23706155,-0.015360617,0.10475706,0.39488134,0.17652214,0.34826976,-0.37578386,0.12686193,0.008021571,-0.029509526,-0.109728545,0.18401855,0.42394114,0.48363498,0.0636897,0.31485978,-0.15958364,0.5779513,0.25421256,0.263936,0.03880127,-0.46217397,0.1193378,0.5537187,0.54582494,-0.16364811,0.23324399,-0.15269935,-0.0473054,0.44434714,0.12772763,-0.08638546,0.16508219,0.2267316,-0.15015164,0.3488553,0.26368207,0.59330094,0.055296987,-0.43172753,0.21011253,0.09177173,0.025934622,0.034956872,0.31749237,0.011894479
BAX,-0.6467212,0.16898848,0.14081122,-0.16454117,-0.055850536,0.09515642,0.39499313,0.13795173,0.26843053,0.05522651,0.105822645,0.087215014,-0.02145069,0.30452263,0.18251419,0.6013125,-0.5591881,0.69959354,-0.23723334,-0.010459476,0.12573501,0.4185715,0.17546357,0.35960975,-0.37332422,0.113942504,0.0019981747,-0.039382976,-0.116845965,0.18530454,0.4100544,0.5081858,0.065561175,0.32166952,-0.17481351,0.5865972,0.26741207,0.27064,0.043379672,-0.4763455,0.13279499,0.5305741,0.54375523,-0.16802435,0.24057129,-0.14185105,-0.03862266,0.4601919,0.10724694,-0.101099595,0.16813557,0.22869475,-0.14946514,0.3543473,0.26137707,0.5943385,0.035228133,-0.44807866,0.22215074,0.0923499,0.029333618,0.03228897,0.32266745,0.019475706
BBC3,-0.8858402,0.2519708,0.108718604,-0.19859692,-0.18115512,0.10124405,0.41467685,0.09944117,0.40109557,0.12192809,0.18134877,0.053105097,-0.04089032,0.67868733,0.4348219,0.86398727,-0.7156014,0.9239297,-0.29220274,0.05909425,0.27775964,0.5053567,0.36837345,0.5489691,-0.471922,0.26734868,-0.0032870402,-0.114416584,-0.15073878,0.18180239,0.6927822,0.5940555,0.05581849,0.4342746,-0.3116199,0.72342163,0.36015108,0.3474349,0.04204207,-0.58130586,0.23166573,0.90495247,0.7447387,-0.22976121,0.28707963,-0.23979932,-0.049496014,0.33250248,0.16295354,-0.04027836,0.27410746,0.28551444,-0.13678755,0.33768487,0.30753636,0.7092796,0.25487256,-0.6515008,0.34892946,0.093287334,-0.008048607,0.066642284,0.36021084,0.015293419
BCL2L1,-0.6399235,0.23893896,0.14492509,-0.16184571,-0.07728669,0.050472077,0.3958257,0.103837416,0.33282062,0.049779303,0.17342229,-0.026654443,-0.028902285,0.40543458,0.28820008,0.70135516,-0.5560691,0.7210831,-0.23837268,-0.014722603,0.10660297,0.3730092,0.22775672,0.37017673,-0.37975812,0.18295121,0.0044830767,-0.036116306,-0.11598336,0.18585932,0.51121163,0.45800063,0.0642041,0.34456468,-0.17020178,0.5841867,0.26386943,0.26602724,0.04069821,-0.46893385,0.12785386,0.6847635,0.5951003,-0.16832078,0.23748551,-0.1961224,-0.05262755,0.39342666,0.16977336,-0.05749862,0.16872631,0.22964585,-0.15072222,0.3396846,0.2719955,0.62334585,0.11142152,-0.44271758,0.20821166,0.09089318,0.026349146,0.04380773,0.3253682,0.0018983036
BCL2L11,-0.8858424,0.25159776,0.10870266,-0.19859436,-0.18100995,0.10152032,0.41467652,0.09944655,0.40072644,0.12192546,0.18097395,0.05311248,-0.040846817,0.6780787,0.43419397,0.8633815,-0.7155951,0.92378473,-0.29221058,0.0590983,0.27784443,0.5053607,0.36803764,0.54890335,-0.4719174,0.2669446,-0.0032862586,-0.114410475,-0.15073514,0.18179452,0.69216615,0.5943423,0.05581771,0.43412158,-0.31161705,0.72342366,0.36014602,0.34743628,0.04204545,-0.58201444,0.23165944,0.9040167,0.7444256,-0.22973475,0.28728968,-0.23946741,-0.049493283,0.3328926,0.16261792,-0.040522248,0.27408057,0.28551045,-0.1367841,0.3377753,0.30749035,0.7091056,0.2544496,-0.6515014,0.34902245,0.0932907,-0.008043164,0.06658909,0.36019483,0.015396878
CARD8,-0.8858402,0.2519708,0.108718604,-0.19859692,-0.18115512,0.10124405,0.41467685,0.09944117,0.40109557,0.12192809,0.18134877,0.053105097,-0.04089032,0.67868733,0.4348219,0.86398727,-0.7156014,0.9239297,-0.29220274,0.05909425,0.27775964,0.5053567,0.36837345,0.5489691,-0.471922,0.26734868,-0.0032870402,-0.114416584,-0.15073878,0.18180239,0.6927822,0.5940555,0.05581849,0.4342746,-0.3116199,0.72342163,0.36015108,0.3474349,0.04204207,-0.58130586,0.23166573,0.90495247,0.7447387,-0.22976121,0.28707963,-0.23979932,-0.049496014,0.33250248,0.16295354,-0.04027836,0.27410746,0.28551444,-0.13678755,0.33768487,0.30753636,0.7092796,0.25487256,-0.6515008,0.34892946,0.093287334,-0.008048607,0.066642284,0.36021084,0.015293419
CASP9,-0.67078197,0.31005913,0.14398168,-0.16499656,-0.11768189,0.009499435,0.39916432,0.1030144,0.41002297,0.055918537,0.24149707,-0.018405825,-0.03847771,0.5516173,0.41883227,0.8298818,-0.57699317,0.7783938,-0.24742968,-0.008432635,0.116066515,0.39212272,0.30280325,0.40919563,-0.3997031,0.26383737,0.0030870123,-0.045809604,-0.12194054,0.1867411,0.6420446,0.42753863,0.060272593,0.384117,-0.19127633,0.6027329,0.2913711,0.27558717,0.037669104,-0.3826344,0.14131777,0.8739522,0.6718139,-0.1779547,0.24602188,-0.21289565,-0.05252706,0.3152297,0.22978726,-0.013409436,0.18679076,0.25920784,-0.14940251,0.3270265,0.28812498,0.66660756,0.21028946,-0.47272816,0.2166925,0.08811194,0.019568948,0.05700682,0.33239713,-0.010433346
CDKN2A,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
DIABLO,-0.6729068,0.16818789,0.1350498,-0.16594407,-0.06440318,0.10796751,0.39880145,0.1379727,0.27018863,0.058251027,0.10037185,0.10770534,-0.02386526,0.32298654,0.18663897,0.61239445,-0.5765435,0.7211195,-0.24848424,-0.005131126,0.14271115,0.43410537,0.17835677,0.3767388,-0.39331895,0.11136195,0.0028600714,-0.0447414,-0.12109929,0.18487763,0.4111971,0.5300975,0.06212498,0.32770613,-0.19075818,0.60399914,0.27706864,0.27679294,0.04131888,-0.48851812,0.14093338,0.5276004,0.55457973,-0.1723839,0.24607411,-0.14208713,-0.040291943,0.46138695,0.10297045,-0.10329373,0.18079396,0.23689182,-0.14816049,0.35613132,0.26667812,0.5997946,0.046861462,-0.47291556,0.2434013,0.09118965,0.022584049,0.033620074,0.32327312,0.021686725
DYNLL1,-0.8238238,0.24571064,0.12267701,-0.19275574,-0.15998563,0.08883471,0.40341043,0.09005305,0.38305956,0.1094412,0.18510142,0.029714243,-0.029865332,0.6143732,0.3950343,0.8178141,-0.6732516,0.8671986,-0.2725146,0.048181348,0.24136162,0.46805036,0.3419952,0.5036295,-0.4345508,0.2539889,5.059736e-05,-0.0951882,-0.13457876,0.18028426,0.6628647,0.5570894,0.05831431,0.40504947,-0.2739488,0.68499106,0.33080104,0.33552837,0.040948264,-0.56085205,0.2075026,0.86124593,0.7027348,-0.21852416,0.27371848,-0.22159448,-0.04823416,0.34395808,0.16128376,-0.044379592,0.24287967,0.26821655,-0.13715841,0.33964247,0.2940058,0.6862457,0.21914479,-0.59762305,0.3078089,0.09481616,0.001324293,0.06333271,0.35222262,0.018088117
DYNLL2,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
E2F1,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
GZMB,-0.8135406,0.2658944,0.12424818,-0.19068176,-0.16327521,0.0699792,0.40488344,0.09220552,0.40301725,0.10475953,0.20309308,0.02716659,-0.0348067,0.6380906,0.42636734,0.84846675,-0.66812056,0.87288284,-0.27237996,0.041953176,0.2291944,0.4664158,0.35330817,0.5019507,-0.43599886,0.27051005,-0.0009348437,-0.09229495,-0.136732,0.18196964,0.6869842,0.53750825,0.05753487,0.41466817,-0.2717524,0.68106675,0.3300924,0.33026,0.04070026,-0.51809645,0.20444787,0.90214187,0.7169932,-0.21655759,0.27432024,-0.24154305,-0.04902479,0.32490027,0.18150681,-0.032701507,0.24281055,0.26693285,-0.13805419,0.33629277,0.2967919,0.6947225,0.237117,-0.5920155,0.30029362,0.09298686,0.0024987722,0.06414822,0.3511483,0.01173538
MAPK1,-0.7927477,0.19838887,0.12291081,-0.18610929,-0.12899792,0.11386442,0.40471572,0.0950644,0.33190247,0.09660385,0.13318846,0.07682606,-0.02827996,0.5056032,0.30267173,0.7315013,-0.6540938,0.8326521,-0.271812,0.03418523,0.22844127,0.45902556,0.2779401,0.47291964,-0.4319372,0.18713346,-0.0013962765,-0.08353551,-0.13556978,0.182273,0.55636513,0.57781124,0.05713713,0.38206223,-0.26217538,0.67094624,0.32317546,0.32177234,0.041047234,-0.55773556,0.194527,0.7103679,0.6497481,-0.20597777,0.27889,-0.18166688,-0.048764426,0.40026748,0.1223241,-0.07871717,0.22989158,0.26271972,-0.13929938,0.35315734,0.28601497,0.65657574,0.14866257,-0.5769998,0.30619556,0.092383824,0.0060225874,0.051528722,0.34357047,0.028324455
MAPK8,-0.8858402,0.2519708,0.108718604,-0.19859692,-0.18115512,0.10124405,0.41467685,0.09944117,0.40109557,0.12192809,0.18134877,0.053105097,-0.04089032,0.67868733,0.4348219,0.86398727,-0.7156014,0.9239297,-0.29220274,0.05909425,0.27775964,0.5053567,0.36837345,0.5489691,-0.471922,0.26734868,-0.0032870402,-0.114416584,-0.15073878,0.18180239,0.6927822,0.5940555,0.05581849,0.4342746,-0.3116199,0.72342163,0.36015108,0.3474349,0.04204207,-0.58130586,0.23166573,0.90495247,0.7447387,-0.22976121,0.28707963,-0.23979932,-0.049496014,0.33250248,0.16295354,-0.04027836,0.27410746,0.28551444,-0.13678755,0.33768487,0.30753636,0.7092796,0.25487256,-0.6515008,0.34892946,0.093287334,-0.008048607,0.066642284,0.36021084,0.015293419
