	MF: KIRC	MF: BRCA	MF: READ	MF: PRAD	MF: STAD	MF: HNSC	MF: LUAD	MF: THCA	MF: BLCA	MF: ESCA	MF: LIHC	MF: UCEC	MF: COAD	MF: LUSC	MF: CESC	MF: KIRP	METH: KIRC	METH: BRCA	METH: READ	METH: PRAD	METH: STAD	METH: HNSC	METH: LUAD	METH: THCA	METH: BLCA	METH: ESCA	METH: LIHC	METH: UCEC	METH: COAD	METH: LUSC	METH: CESC	METH: KIRP	GE: KIRC	GE: BRCA	GE: READ	GE: PRAD	GE: STAD	GE: HNSC	GE: LUAD	GE: THCA	GE: BLCA	GE: ESCA	GE: LIHC	GE: UCEC	GE: COAD	GE: LUSC	GE: CESC	GE: KIRP	CNA: KIRC	CNA: BRCA	CNA: READ	CNA: PRAD	CNA: STAD	CNA: HNSC	CNA: LUAD	CNA: THCA	CNA: BLCA	CNA: ESCA	CNA: LIHC	CNA: UCEC	CNA: COAD	CNA: LUSC	CNA: CESC	CNA: KIRP
STIM1	0.0	0.0052824175344793655	0.0	0.0	0.012992672557200508	0.0	0.060833225448409	0.0036005727431048253	0.0	0.0	0.0	0.00745893512283213	0.01075416786956511	0.0	0.0	0.040940487965135386	0.4927314337877025	0.005897829405639764	0.03543302309558184	0.010006326441914007	0.07985943027382368	0.0004492605712423028	0.001412544739750915	0.06974775894425682	0.02461844172571078	0.023828009226368466	0.02409094953370708	0.060834358499374123	0.04584712397697102	0.009194567743743448	0.00508711533466987	0.45095905688565185	0.021826441787489947	0.07858283877160327	0.08100877141032652	0.024927377391925177	0.05840258041226103	0.05488142196162799	0.029813631503664048	0.003232808379849662	0.10320679131887509	0.06488920117333287	0.045089110281725506	0.11284044679153968	0.09028794172904439	0.030371468345881947	0.09099509032178653	0.01734486874597192	0.0	0.0	0.0	0.0	0.0	0.42894736842105263	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44933920704845826	0.0
TRPC1	0.0	0.005301615392242151	0.0	0.022757802933468924	0.0	0.0211868081959162	0.06020199457754695	0.0	0.0	0.05385291646049442	0.024799367830193278	0.00754518024468355	0.0	0.054278376119430004	0.0274794352734712	0.04065549619142095	0.011834592916319763	0.1353069998756751	0.0004261866630911403	0.09806982119118726	0.14456663273271517	0.0679732520262535	0.024147178745254468	0.0032088903997376395	0.04516558447943703	0.06727942289081064	0.12138978655772671	0.026268950815673636	0.04733490848863629	0.04786097763367603	0.06609172173921804	0.006033001422568921	0.03503685869332557	0.1753960348635794	0.12758711839932188	0.16077052947956	0.02513895889110963	0.017627147232584607	0.06052957117728186	0.0725598478887506	0.1949096957875065	0.04619183598294477	0.024565460511984917	0.32809940684139133	0.0767786474965304	0.06624091251718617	0.3308755980003635	0.042482433341368454	0.34623655913978496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NOS1	0.06334502625019917	0.015765347284446143	0.05567672906655789	0.02268990921650573	0.04872073770866663	0.021050571163895245	0.038974360849039456	0.0	0.08839782398477335	0.0	0.04888432128854567	0.028677107392267417	0.0620349657364994	0.10307219893928235	0.0510205350417923	0.08090021412077533	0.049444631627931196	0.23247889421612106	0.3895582727548402	0.03545067594310004	0.19740018488697464	0.046252857176602845	0.31502854254146795	0.010590820003084287	0.20547229780659906	0.3683829444025641	0.022383065653603956	0.14483908084519215	0.47831253483335573	0.10922770876275967	0.3581957395655684	0.01378699223991261	0.3173145513974117	0.36684220961054437	0.36265339344247777	0.3276155533390896	0.3861429073714246	0.24040601818661908	0.5426960061155328	0.485484699173166	0.0	0.20299684177034827	0.0	0.26407467182794336	0.19722910759993853	0.2256543143740571	0.3389483206000744	0.5127139110768717	0.0	0.0	0.0	0.12244897959183673	0.0	0.16578947368421051	0.35278514588859416	0.0	0.0	0.0	0.0	0.0	0.0	0.19026548672566373	0.0	0.0
ATP2B4	0.03821532261469791	0.01486631530082971	0.053869873266588694	0.04541996644020426	0.025206249599227324	0.016322434116660418	0.04006284400633713	0.00719348413511647	0.05754420083149499	0.0	0.0741382782100515	0.014862691580671272	0.010741627621901957	0.0541433464067874	0.05578885654458416	0.0	0.15198858381862582	0.021526747727887353	0.01218207704410999	0.1603110878667747	0.04747785575072479	0.04964399058983555	0.021305938556541542	0.0051359062126370165	0.030284821594682727	0.05722039452390344	0.09487287053981558	0.031909107907487015	0.014760589721495842	0.005023863482405588	0.03935217829572919	0.046021116569432335	0.05887386064186348	0.12174746263478065	0.2541151906759774	0.19896168309344323	0.0005874370963893314	0.04689898537827446	0.09459762987601507	0.015496169234829658	0.14800277776472326	0.011124699824904619	0.05445004833609906	0.15520127999117925	0.07118846772221052	0.09070223712759187	0.2679025765727844	0.028759168315204982	0.14838709677419354	0.0	0.3333333333333335	0.0	0.0	0.0	0.0	0.3222222222222223	0.27272727272727276	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ABCC9	0.012768588869285948	0.031121653165154698	0.05591004666270452	0.04541393655105818	0.18790503578894832	0.04853919317840818	0.05890889461377583	0.01078740322834138	0.09062287387039056	0.05358044074863726	0.024757540247096612	0.02933532757716317	0.021424901545907656	0.0	0.10892463379627915	0.040658578724113055	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006579922529487205	0.25272244113964526	0.10901153294836495	0.14871572972278047	0.03622937464859549	0.00834597903192136	0.1855182669980787	0.11350787189064804	0.2548952178902124	0.0716003794731381	0.16073791618014413	0.4751147572522009	0.05633649354249254	0.22595381933071662	0.5386892795853323	0.096150285463266	0.0	0.0	0.13605442176870752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KCNJ11	0.0	0.0	0.0	0.02276621670229396	0.0	0.005497934525641442	0.0	0.0	0.0	0.0	0.0	0.007759407485680027	0.016106525332018787	0.0	0.08278930023764315	0.0	0.030799580540672288	0.10520607721495896	0.05377373683882515	0.048461594346470474	0.03204150902445321	0.025728752227763864	0.09515403907058943	0.021608233595680246	0.11578084430217644	0.012183906761785348	0.042189567651558395	0.11208967341561651	0.0009469928427420674	0.060326223135121315	0.052564647123245316	0.004284693622692711	0.11523471954241243	0.14653451038083362	0.06785032984748088	0.08721328653982903	0.025191894745614753	0.13779791266904148	0.008232586335322952	0.05157844617121607	0.155792160245806	0.25508243635933486	0.10341592089486512	0.07534544486708109	0.06849709417844803	0.075606676806019	0.03880674716560832	0.018623894403985757	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.44933920704845826	0.0
HADHA	0.0	0.005295405367021604	0.0	0.0	0.0	0.010906842243322418	0.020564279254916606	0.0	0.03033236617112717	0.0	0.0	0.00377180658309862	0.005230934196016893	0.0	0.027418712305496775	0.12246309871970679	0.01364952905992736	0.003539231627145744	0.021040932358692206	0.01703344236418439	0.005427897963814101	0.008036368189502678	0.0002885369720154623	0.0025347851782515883	0.023919924686005928	0.008437064489534171	0.0018744766282654463	0.006887726659382237	0.0023800462760812514	0.017643569968571755	0.00026811201011490624	0.021017791678575936	0.012882496037718863	0.07609600890716693	0.054910759747362654	0.01605118881775141	0.03966062520412169	0.03222787399828074	0.03193312506971497	0.018036403058912007	0.05175667600600577	0.028549982674825856	0.025174266756285143	0.036566067463114374	0.0778802528728018	0.02293122919411975	0.026738461679178555	0.011457861422868603	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1015625	0.0	0.0	0.3480176211453745	0.04020100502512563
HADHB	0.012802278944257015	0.005302970421769078	0.0	0.022320388284235864	0.0	0.016411187145423528	0.040820594482078774	0.0	0.030382922796783556	0.0	0.04991021192955069	0.007572942683757586	0.0	0.05456800392553171	0.027725918276785194	0.0	0.004747664106596357	0.005789991659633202	0.004078870463305388	0.004412260151965502	0.007579181841269978	0.0011495841877631667	0.013611049963600798	0.006455811096284143	0.0018664001378353185	0.012474986365085495	0.0031107472582944445	0.006445196444772287	0.0024347342460630176	0.006707153196352225	0.009497297499145487	0.005102687325607892	0.04644163054595769	0.036934957640703404	0.07040654212849803	0.007164491743206839	0.059883813701707395	0.04424160470262507	0.017154686547600183	0.002323073560980612	0.0517671092653281	0.07691416167091436	0.04727783130672985	0.01934307876923958	0.0756095583644013	0.011965817530847663	0.007754227453633562	0.0427328010337676	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1015625	0.0	0.0	0.3480176211453745	0.04020100502512563
GTF2E2	0.0	0.005304260492765835	0.0	0.022775114888322186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011590013879361831	0.0	0.0	0.0	0.0	0.00025016472513439566	0.007685581308254949	0.000614155051425566	0.0067798361485087045	0.0058679598173930255	0.010953466303791508	0.0062657738545612	0.007574926309815259	0.013110361913560829	0.0008089560464132556	0.010725554215094373	0.0106369879904627	0.002269644682802354	0.006966632257995047	4.429417198925375e-05	0.010823649903598182	0.014844867173476228	0.0009082641658868642	0.021832764490900804	0.018969328935382165	0.00024295596296000074	0.024755003658491072	0.04864116364655483	0.03677611638620804	0.018784898135426987	0.03004502723658281	0.02805525803998465	0.03426986090419135	0.046382855179875164	0.05743400284194501	0.008163720432153188	0.036106236825451325	0.0	0.0	0.11564625850340139	0.0	0.0	0.0	0.0	0.0	0.9545454545454546	0.5172413793103449	0.0	0.0	0.0	0.0	0.0	0.0
GTF2E1	0.0	0.005312634841696373	0.0	0.0	0.025801782875550447	0.010997221253213748	0.020269254144701394	0.0	0.03037657402689749	0.0	0.024867202752339737	0.003881185009573818	0.005444225672268679	0.0	0.0	0.0	0.010430451178315824	0.013879603659663372	0.002391483906887591	0.007385809055453724	0.006461378509016181	0.013296609922518902	0.00942812435502794	0.004894698235948047	0.011600504089401427	0.015658472799200646	0.0030370831876400297	0.01237513471433	0.005445448849593028	0.009723380310731453	0.0017840021720771995	0.0009697154268005	0.0055906202712318834	0.034374253140792475	0.012081096568915392	0.017599350514772044	0.04290695853673072	0.05302827729838962	0.009191815735523776	0.07498406899044391	0.016700945842101973	0.05716440835723057	0.08167285138842797	0.039788356153553396	0.01294736122533934	0.05884635522206475	0.05532119445512828	0.03570550211982978	0.34623655913978496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
