"Gene","Wilcoxon_p","Kruskal_p","Wilcoxon_FDR","Kruskal_FDR"
"C1QBP",0.00126954237938431,0.0010293051796531,0.00296226555189673,0.00255745882982934
"CBX5",0.79366226978391,0.438271633408781,0.817005277718731,0.451161975567863
"CCR5",0.141999876296843,0.0228621829486342,0.171379161047914,0.0347902784000955
"CDK1",1.23991309334546e-06,0.000624134222156073,7.23282637784853e-06,0.00182039148128855
"CDK2",1.87553868576878e-06,1.27851100529068e-05,9.22001931281302e-06,4.97198724279707e-05
"CDK7",0.0136933172629464,0.253099129271393,0.0208376567044837,0.295282317483292
"COQ9",0.625160407564346,0.209680964643275,0.683769195773503,0.262051150538016
"CUL7",0.151368112693314,0.286580393809078,0.176596131475533,0.323558509139282
"DDB1",0.00977449446669826,0.00160398149503733,0.0155503321061109,0.00350870952039416
"DHX15",1.82151352176851e-09,6.0995858211538e-08,2.12509910872993e-08,5.33713759350958e-07
"DSN1",2.28984603915442e-05,0.00792794750337965,7.28587376094588e-05,0.0154154534787938
"EDC4",2.66352953196759e-06,1.61863679063807e-05,1.03581704020962e-05,5.66522876723325e-05
"EGFR",0.0422717006169151,2.00382362778948e-21,0.0591803808636812,3.5066913486316e-20
"EPS15",2.7236994746239e-09,9.70348635133787e-07,2.38323704029591e-08,4.85174317566893e-06
"EVL",9.51383021015015e-05,0.0141111874289386,0.000256141582580966,0.0246945780006425
"HDAC1",0.00954896717463787,0.00507346984617965,0.0155503321061109,0.0104453790950757
"HDAC2",0.00355142289908621,0.0100292566305704,0.00654209481410618,0.018474946424735
"HDAC3",0.780735275208682,0.674704860467045,0.817005277718731,0.674704860467045
"HDAC4",0.0809245245535334,0.000776732027600976,0.101155655691917,0.00209120161277186
"HEY2",0.00591386022490314,0.097161137010556,0.0103492553935805,0.125949622050721
"HINT2",0.175259888384753,0.369788562279731,0.197874067531172,0.404456239993456
"IRS4",5.20281286584906e-06,0.00109605378421257,1.82098450304717e-05,0.00255745882982934
"MCM6",1.00458693961206e-10,7.66687852283599e-08,1.75802714432111e-09,5.36681496598519e-07
"PLK1",3.771309797221e-19,1.91280738334293e-14,1.31995842902735e-17,2.23160861390009e-13
"RBBP4",0.0201911127194258,0.0602715110576244,0.0294453727158292,0.0811347264237252
"RBM39",0.0505836967279237,0.391320155146426,0.0659962040545966,0.415036528185603
"SIN3A",6.45286088889316e-05,2.32614828730173e-07,0.000188208442592717,1.35691983425934e-06
"SKP1",0.00334718528281685,0.0369483226882317,0.00650841582769943,0.0517276517635244
"SKP2",1.97718095935479e-07,1.26962934953103e-05,1.38402667154835e-06,4.97198724279707e-05
"SP100",0.00184670616334105,0.21712809616007,0.00380204210099628,0.262051150538016
"SRRM2",0.958404544072658,0.0163448550548134,0.958404544072658,0.0272414250913556
"STAT1",0.000852973631237353,0.000125838007154807,0.00213243407809338,0.000400393659128932
"SUMO1",0.050911357413546,0.0208103708361291,0.0659962040545966,0.0331074081483873
"TFAP4",0.00143087065333203,0.0331331883121927,0.00313002955416382,0.048319232955281
"TP53",2.10743298578583e-06,0,9.22001931281302e-06,0
